ref_date,curve,days,rate
2026-04-02,DOC,684,0.051100000000000007
2026-04-02,DOC,685,0.051100000000000007
2026-04-02,DOC,690,0.051100000000000007
2026-04-02,DOC,713,0.0509
2026-04-02,DOC,720,0.051
2026-04-02,DOC,732,0.0509
2026-04-02,DOC,741,0.051
2026-04-02,DOC,753,0.0508
2026-04-02,DOC,774,0.0508
2026-04-02,DOC,781,0.0509
2026-04-02,DOC,791,0.051
2026-04-02,DOC,804,0.051
2026-04-02,DOC,810,0.051
2026-04-02,DOC,811,0.051
2026-04-02,DOC,823,0.051
2026-04-02,DOC,840,0.0512
2026-04-02,DOC,866,0.0512
2026-04-02,DOC,872,0.0512
2026-04-02,DOC,883,0.051399999999999994
2026-04-02,DOC,900,0.0512
2026-04-02,DOC,902,0.0513
2026-04-02,DOC,914,0.0513
2026-04-02,DOC,930,0.051500000000000004
2026-04-02,DOC,944,0.0518
2026-04-02,DOC,959,0.051699999999999996
2026-04-02,DOC,960,0.051699999999999996
2026-04-02,DOC,974,0.051699999999999996
2026-04-02,DOC,991,0.0518
2026-04-02,DOC,1006,0.0518
2026-04-02,DOC,1020,0.0519
2026-04-02,DOC,1050,0.052000000000000005
2026-04-02,DOC,1082,0.052199999999999996
2026-04-02,DOC,1096,0.052199999999999996
2026-04-02,DOC,1110,0.052300000000000006
2026-04-02,DOC,1139,0.0524
2026-04-02,DOC,1140,0.0524
2026-04-02,DOC,1170,0.0525
2026-04-02,DOC,1187,0.0525
2026-04-02,DOC,1201,0.0525
2026-04-02,DOC,1217,0.0525
2026-04-02,DOC,1231,0.0525
2026-04-02,DOC,1278,0.0524
2026-04-02,DOC,1309,0.0527
2026-04-02,DOC,1324,0.0528
2026-04-02,DOC,1341,0.0528
2026-04-02,DOC,1371,0.0535
2026-04-02,DOC,1415,0.053899999999999997
2026-04-02,DOC,1440,0.053899999999999997
2026-04-02,DOC,1460,0.0541
2026-04-02,DOC,1504,0.0545
2026-04-02,DOC,1551,0.054900000000000004
2026-04-02,DOC,1596,0.0553
2026-04-02,DOC,1630,0.0556
2026-04-02,DOC,1643,0.0557
2026-04-02,DOC,1691,0.0557
2026-04-02,DOC,1721,0.0558
2026-04-02,DOC,1736,0.0557
2026-04-02,DOC,1782,0.055999999999999994
2026-04-02,DOC,1800,0.056100000000000004
2026-04-02,DOC,1812,0.056100000000000004
2026-04-02,DOC,1825,0.0562
2026-04-02,DOC,1869,0.056799999999999996
2026-04-02,DOC,1887,0.057
2026-04-02,DOC,1903,0.0572
2026-04-02,DOC,1916,0.0574
2026-04-02,DOC,1961,0.0579
2026-04-02,DOC,1978,0.057999999999999996
2026-04-02,DOC,1994,0.0582
2026-04-02,DOC,2008,0.0583
2026-04-02,DOC,2055,0.058600000000000006
2026-04-02,DOC,2101,0.0588
2026-04-02,DOC,2146,0.0591
2026-04-02,DOC,2160,0.0592
2026-04-02,DOC,2237,0.0599
2026-04-02,DOC,2328,0.0608
2026-04-02,DOC,2420,0.061500000000000006
2026-04-02,DOC,2468,0.061900000000000004
2026-04-02,DOC,2511,0.0623
2026-04-02,DOC,2520,0.0625
2026-04-02,DOC,2601,0.063
2026-04-02,DOC,2692,0.0639
2026-04-02,DOC,2785,0.0646
2026-04-02,DOC,2832,0.065
2026-04-02,DOC,2876,0.0654
2026-04-02,DOC,2883,0.0654
2026-04-02,DOC,2965,0.066
2026-04-02,DOC,3057,0.0669
2026-04-02,DOC,3150,0.0676
2026-04-02,DOC,3197,0.0679
2026-04-02,DOC,3240,0.0682
2026-04-02,DOC,3241,0.0683
2026-04-02,DOC,3330,0.069
2026-04-02,DOC,3422,0.0699
2026-04-02,DOC,3515,0.0706
2026-04-02,DOC,3562,0.0709
2026-04-02,DOC,3602,0.0713
2026-04-02,DOC,3606,0.07139999999999999
2026-04-02,DOC,3696,0.0722
2026-04-02,DOC,3788,0.0731
2026-04-02,DOC,3882,0.0741
2026-04-02,DOC,3928,0.0745
2026-04-02,DOC,3960,0.0747
